full_name,html_url,language,license,description,updated_at
EvoLinkAI/awesome-gpt-image-2-prompts,https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts,Python,NOASSERTION,"Curated GPT-Image-2 prompts fot the Openai API：image examples across portraits, posters, UI mockups, character sheets, and community experiments.",2026-04-27T06:36:40Z
GargantuaX/gemini-watermark-remover,https://github.com/GargantuaX/gemini-watermark-remover,JavaScript,MIT,"A high-performance, 100% client-side tool for removing Gemini AI watermarks. Built with pure JavaScript, it leverages a mathematically precise Reverse Alpha Blending algorithm rather than unpredictable AI inpainting. Tired of Gemini Watermark? GPT Image 2 ↓ / 基于 Javascript 的纯浏览器端 Gemini AI 图像无损去水印工具，使用数学精确的反向 Alpha 混合算法，对gemini水印疲了？推荐GPT-Image-2 ↓",2026-04-27T03:45:36Z
YouMind-OpenLab/awesome-gpt-image-2,https://github.com/YouMind-OpenLab/awesome-gpt-image-2,TypeScript,NOASSERTION,"🚀 World's largest GPT Image 2 prompt library, updated daily — 2000+ curated prompts with preview images, 16 languages. OpenAI's next-gen image model with pixel-perfect text rendering, cross-image consistency, and commercial-grade illustration. Free & open source.",2026-04-27T06:31:43Z
Anil-matcha/Awesome-GPT-Image-2-API-Prompts,https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts,—,MIT,"Curated GPT-Image-2 prompts for the OpenAI API — portraits, posters, UI mockups, game screenshots, character sheets, and more. Ready-to-use prompts for gpt-image-2.",2026-04-27T06:06:16Z
ConardLi/garden-skills,https://github.com/ConardLi/garden-skills,JavaScript,MIT,"ConardLi's open-source Skills collection, featuring web design, knowledge retrieval, image generation, and more.",2026-04-27T06:37:04Z
432539/gpt2api,https://github.com/432539/gpt2api,Go,NOASSERTION,基于 chatgpt.com 逆向的 OpenAI 兼容 SaaS 网关 · GPT-IMAGE-2 稳定 · 批量出图 · 多账号池 · 高并发调度 · 积分计费 · 技术交流QQ 群 382446,2026-04-27T06:14:01Z
freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,—,MIT,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库 - 329个案例逆向工程，13套工业级模板,2026-04-27T06:38:30Z
Jamailar/RedBox,https://github.com/Jamailar/RedBox,TypeScript,NOASSERTION,用AI创作高质量内容，用gpt-image-2创作的最佳生图工具，AI图片自动编排，小红书版Openclaw，自媒体创作者的AI工作台，小红书创作AI工具RedClaw，支持小红书图文下载、创作风格学习、小红书AI创作｜🌟 Star if you like it! ｜ 你桌面盒子里的AI小河狸🦫,2026-04-27T03:06:45Z
wuyoscar/gpt_image_2_skill,https://github.com/wuyoscar/gpt_image_2_skill,Python,NOASSERTION,"GPT Image 2 prompt gallery, image prompt library, agentic skill, and CLI for OpenAI image generation/editing",2026-04-27T06:35:36Z
ZeroLu/awesome-gpt-image,https://github.com/ZeroLu/awesome-gpt-image,Python,MIT,A curated collection of the best GPT Image 2 prompts and examples. The prompts come from top creators on X.,2026-04-27T06:36:15Z
CookSleep/gpt_image_playground,https://github.com/CookSleep/gpt_image_playground,TypeScript,MIT,基于 OpenAI gpt-image-2 接口的图片生成与编辑工具,2026-04-27T06:35:45Z
bubblesslayyer-cmd/Awesome-GPT-Image-2-OpenAi,https://github.com/bubblesslayyer-cmd/Awesome-GPT-Image-2-OpenAi,TypeScript,MIT,"The Definitive GPT Image 2 Prompt Vault — Master OpenAI's next-gen model with curated prompts for pixel-perfect text, consistent characters, and professional-grade assets. Optimized for creators and developers.",2026-04-27T06:04:28Z
alasano/gpt-image-playground,https://github.com/alasano/gpt-image-playground,TypeScript,MIT,"A web-based playground for OpenAI's GPT image models (gpt-image-2, gpt-image-1.5, gpt-image-1, gpt-image-1-mini) to generate and edit images.",2026-04-27T02:13:37Z
